USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena
Split;Hvar;SV.Nikola;25b;Hvar;d.819/1 A,819/2;34.8;1;1;
Split;Hvar;SV.Nikola;30a;Brusje;608,612/1 ,d.612/3;4.55;1;1;
Split;Hvar;SV.Nikola;30c;Brusje;d.612/3, 620/1;8.27;1;1;
Split;Hvar;SV.Nikola;30d;Brusje;552/1;8.17;1;1;
Split;Hvar;SV.Nikola;31a;Brusje;2860, 2861, 2859, 2877/1 , 2871, 2874, 2898/7, 2898/6, 2991, 2932, 2870,2876,2898/8,2989,2931,2934, 3056, 6671, 6673;4.56;1;1;
Split;Hvar;SV.Nikola;31b;Brusje;2165/1, 2249/14, 2338/15;11.12;1;1;
Split;Hvar;SV.Nikola;31c;Brusje;2193;2.62;1;1;
Split;Hvar;SV.Nikola;77a;Grablje;5545, 7454,7455,7456/14,7459/118;5.44;1;1;
Split;Hvar;SV.Nikola;77b;Grablje;6792;1.49;1;1;
Split;Hvar;SV.Nikola;77c;Grablje;d.5980, 6031, 6062,6157, 6249/3, d.6247/4, d.6158/1, 583, 584, 1430, 1503/4, 1550, 2606/2, 2606/4, 2606/8, 2707/1;19.35;1;1;
Split;Hvar;SV.Nikola;79a;Grablje;1848/1, 1655, 1857, 1856, d.1828/1, d.1895;28.68;1;1;
Split;Hvar;Plame;10a;Sućuraj;1326/22, d1378/1, 1378/16;9.22;1;1;
Split;Hvar;Plame;11a;Sućuraj;d.1356/7, d.1378/1, 1378/49;30.45;1;1;
Split;Hvar;Plame;14a;Sućuraj;d,1328/5, d.1459/1 ,1459/5, d 1459/6;33.53;1;1;
Split;Hvar;Plame;32a;Bogomolje;"d.3922/1, d.3923, d.3925, 3927,
3928, 3929, d.3930, 3931, d.3934, 3935.
3936, 3924, d.3926, 3932, 3933, 
d.3941, d.3943, 3947";50.38;1;1;
Split;Hvar;Plame;35a;Bogomolje;d.3922/1, 3922/5, d.3960/1, 3960/9;37.63;1;1;
Split;Hvar;Plame;36a;Bogomolje;d.3922/1, d.3941, d.3943, 3953, 3957, 3958, d.3960/1, 3960/2;33.47;1;1;
Split;Dubrovnik;Kuna;5;Gornja Vručica;1845;20;1;1;
Split;Dubrovnik;Kuna;6a;Gornja Vručica;1845;10;1;1;
Split;Dubrovnik;Česvinica;48b, 49a, 50;Sparagovići;1946/1;37.01;1;1;
Split;Dubrovnik;Česvinica;48b;Sparagovići;1949/1;9.71;1;1;
Split;Dubrovnik;Česvinica;47a;Sparagovići;1950;1.67;1;1;
Split;Dubrovnik;Česvinica;47a;Sparagovići;1953/1;2.49;1;1;
Split;Dubrovnik;Česvinica;1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14;Tomislavovac;4381/11;87.45;1;1;
Split;Brač;Dol;9;Pučišće;d .3905, 3905/1, d.3904/1;10;1;1;
Split;Brač;Dol;10c;Pučišće;d.3910, d.3904/1, d.3965;15;1;1;
Split;Brač;Vidova gora;44a;Nerežišća;d.1653;3;1;1;
Split;Brač;Vidova gora;48a;Nerežišća;d.5651;5;1;1;
Split;Brač;Vidova gora;54b;Nerežišća;d.5652;8;1;1;
Split;Brač;Vidova gora;46a;Nerežišća;d.5583/1;5;1;1;
Split;Brač;Vidova gora;45a;Nerežišća;d.1653;8;1;1;
Split;Split;Žeževica;51a;Katuni;d.5239/1, d.5509/1;32.87;1;1;
Split;Split;Žeževica;51a;Žeževica;d.6521/1, d.6404/1;32.87;1;1;
Split;Split;Žeževica;53a;Katuni;d.5429, d.5509/1, d.5509/2, 5525, d. 5540/1, d.5540/3;46.43;1;1;
Split;Imotski;Žeževica;53a;Opanci;d. 429/1;46.43;1;1;
Split;Imotski;Žeževica;57a;Opanci;d. 2552/42, d.2623/5, d.2626/2, d.2663/2, d.2693/8, d.2792/4;46.43;1;1;
Split;Split;Marina;56a;Gornji Seget;2030, d.2508/1;23.59;2;1;
Split;Split;Marina;64a;Marina;d.2210/10;22.3;2;1;
Split;Split;Marina;65a;Marina;d.2244/1;4.11;2;1;
Split;Split;Marina;66a;Marina;d.1344/1;3.08;2;1;
Split;Split;Marina;76b;Trogir;d.5343;15.47;2;1;
Split;Split;Bročanac;79a;Konjsko;1750/1;54.1;2;1;
Split;Split;Bročanac;89b;Gizdavac;d.1825, 1318/1;7.43;2;1;
Split;Split;Vilaja;70b;Marina;9591/1-1, 10012;5.93;2;1;
Split;Split;Vilaja;71b;Marina;9591/1-1;7.27;2;1;
Split;Split;Vilaja;77a;Marina;9591/1-1;9.9;2;1;
Split;Split;Kozjak kaštela;20a;Labin;d.2963/1, d.2964/1;39.48;2;1;
Split;Split;Kozjak kaštela;35b;Labin;d.3012, d.3029;7.67;2;1;
Split;Split;Kozjak kaštela;31b;Trogir;3651;3.1;2;1;
Split;Split;Kozjak kaštela;31d;Trogir;2906/1, d.2909/2, 2909/4,2909/5;3.7;2;1;
Split;Split;Kozjak kaštela;36c;Trogir;3526, 3609;7.04;2;1;
Split;Split;Kozjak kaštela;36a;Kaštel Štafilić;16/1;11.33;2;1;
Split;Split;Blato na Cetini;7a;Katuni;d.3716/1, d.7405, 7429;52.52;2;1;
Split;Split;Blato na Cetini;11b;Katuni;d.7166/1;56.32;2;1;
Split;Split;Blato na Cetini;12a;Katuni;d.4527/1 ,d.6287/29, d.7166/1;50;2;1;
Split;Sinj;Čemernica;4b;Turjaci;d.177/1;4;2;1;
Split;Sinj;Čemernica;1813;Košute;d.919;5;2;1;
Split;Sinj;Čemernica;30b;Vojnić Sinjski;139/1, 1257;5;2;1;
Split;Sinj;Čemernica;32b;Vojnić Sinjski;d.177/1;5;2;1;
Split;Sinj;Kopršnica;1b;Vedrine;2557/1;4;2;1;
Split;Benkovac;Debelo brdo;dio 17;Gornje Biljane;d.1440/1, 980/1, 980/2, 1152/1,1152/2;10;2;1;Korlat Biljane Gornje
Split;Benkovac;Debelo brdo;dio 18;Gornje Biljane;d.1440/1, d.1439, 1152/4, 1152/5, 1153;25;2;1;Korlat Biljane Gornje
Split;Benkovac;Debelo brdo;30;Korlat;d.1396/1, d.1440/1;43.17;2;1;
Split;Benkovac;Debelo brdo;31;Korlat;d.1437, d.1438, d.1439, d.1440/1;42.27;2;1;
Split;Benkovac;Debelo brdo;32;Korlat;d.1440/1;103;2;1;
Split;Benkovac;Debelo brdo;33;Korlat;d.1396/1, d.1440/1;103;2;1;
Split;Benkovac;Debelo brdo;dio 34;Korlat;d.1440/1;103;2;1;
Split;Benkovac;Debelo brdo;dio 35;Korlat;d.1396/1 , d.1440/1;103;2;1;
Split;Benkovac;Debelo brdo;dio 36;Korlat;d.1396/1;103;2;1;
Split;Benkovac;Debelo brdo;dio 44;Korlat;d.1396/1;103;2;1;
Split;Benkovac;Debelo brdo;dio 3a;Donje Biljane;1097/1;10;2;1;Biljane Donje
Split;Benkovac;Debelo brdo;dio 6;Donje Biljane;856/1;15;2;1;Biljane Donje
Split;Benkovac;Polača;neuređen;Nadin;1081/1;1.65;2;1;
Split;Benkovac;Polača;neuređen;Nadin;1015/46;4.5;2;1;
Split;Benkovac;Polača;neuređen;Nadin;1015/46, 1015/47;2;2;1;
Split;Benkovac;Polača;neuređen;Raštević;1262/1;4.5;2;1;
Split;Benkovac;Polača;neuređen;Raštević;986/30;3;2;1;
Split;Korčula;Škanja rat;24b;Blato;28362/1;4.25;2;1;Dubrovnik
Split;Korčula;Škanja rat;23b;Blato;28362/6;19.75;2;1;Dubrovnik
Split;Korčula;Škanja rat;24a;Blato;28362/1;10;2;1;Dubrovnik
Split;Korčula;Škanja rat;dio 28a;Blato;12955/1;38.56;2;1;Dubrovnik
Split;Korčula;Škanja rat;12c;Smokvica;4235/1, 4235/7,4235/10;2;2;1;
Split;Korčula;Škanja rat;5a;Vela Luka;d.2430/2169;8.4;2;1;
Split;Korčula;Škanja rat;5b;Vela Luka;d.2430/2169;2.8;2;1;
Split;Korčula;Škanja rat;5c;Vela Luka;d.2430/2169, d.2340/9611;18.09;2;1;
Split;Korčula;Škanja rat;5d;Vela Luka;d. 2430/2169;19.41;2;1;
Split;Korčula;Škanja rat;5e;Vela Luka;d. 2430/2169;6.3;2;1;
Split;Korčula;Nakovanj;13;Viganj;4251/8;3;2;1;
Split;Korčula;Pupnatska luka;32a;Lumbarda;2635/10;15;3;1;
Split;Korčula;Pupnatska luka;47a;Čara;2378/1;15;3;1;
Split;Korčula;Pupnatska luka;45a;Čara;2206/1, 2006/2, 2205/1;10;3;1;
Split;Korčula;Lastovo;34a;Lastovo;9743/3;10;3;1;
Split;Korčula;Lastovo;33a;Lastovo;9743/3, 9770, 9958/2, 9989, 10011, 10031, 10125, 10739;10;3;1;
Split;Korčula;Lastovo;13a;Lastovo;13068/1;15;3;1;
Split;Metković;Nova sela;17a;Struge;d.11866;5;3;1;
Split;Metković;Nova sela;30a;Struge;d.14293;5;3;1;
Split;Metković;Nova sela;44a;Borovci;d.1268/8;5;3;1;
Split;Metković;Nova sela;55a;Borovci;d.1580/1;5;3;1;
Split;Metković;Nova sela;75a;Vid;d.1448/1;5;3;1;
Split;Metković;Nova sela;76a;Vid;d.1448/1;5;3;1;
Split;Metković;Šibovnica;27a;Dobranje;d.2059/1;5;3;1;Metković
Split;Metković;Šibovnica;34a;Vidonje;d.1692/1;5;3;1;
Split;Metković;Šibovnica;35a;Vidonje;d.1692/1;5;3;1;
Split;Metković;Šibovnica;41a;Vidonje;d.1692/1;5;3;1;
Split;Metković;Šibovnica;44b;Vidonje;d.1692/1;5;3;1;
Split;Metković;Šibovnica;46b;Vidonje;d.2455/1;5;3;1;
Split;Metković;Šibovnica;50a;Vidonje;d.2455/1;5;3;1;
Split;Metković;Šibovnica;52a;Vidonje;d.2455/1;5;3;1;
Split;Metković;Šibovnica;53b;Vidonje;d.2144/1;5;3;1;
Split;Metković;Rujnica;4a;Plina;d.675;5;3;1;
Split;Metković;Rujnica;5a;Plina;d.675;5;3;1;
Split;Metković;Rujnica;26a;Desne;d.363;10;3;1;
Split;Metković;Rujnica;27a;Desne;d.363;5;3;1;
Split;Metković;Rujnica;28a;Desne;d.363;5;3;1;
Split;Metković;Rujnica;41a;Desne;d.3798/1;5;3;1;
Split;Metković;Rujnica;42a;Desne;d.3798/1;5;3;1;
Split;Metković;Rujnica;50a;Desne;d.3798/1;5;3;1;
Split;Metković;Rujnica;51a;Desne;d.3798/1;5;3;1;
Split;Metković;Rujnica;52a;Desne;d.3798/1;5;3;1;
Split;Metković;Slivno;1a;Slivno;d.3682/1;5;3;1;Metković
Split;Metković;Slivno;2a;Slivno;d.3682/1;5;3;1;Metković
Split;Metković;Slivno;9a;Slivno;d.5009;5;3;1;Metković
Split;Metković;Slivno;10a;Slivno;d.4996/1;5;3;1;Metković
Split;Metković;Slivno;14a;Slivno;d.6579/1;5;3;1;Metković
Split;Metković;Slivno;15a;Slivno;d.6579/1;5;3;1;Metković
Split;Metković;Slivno;52b;Slivno;d.9572/1;5;3;1;Metković
Split;Metković;Slivno;62a;Slivno;d.10990/1;5;3;1;Metković
Split;Metković;Slivno;75b;Slivno;d.8580/1;13.48;3;1;Metković
Split;Metković;Slivno;76b;Slivno;d.8577/1;5;3;1;Metković
Split;Metković;Slivno;76d;Slivno;d.8580/1;5;3;1;Metković
Split;Metković;Slivno;77a;Slivno;d.8577/1;5;3;1;Metković
Split;Metković;Slivno;79a;Slivno;d.7981/1;5;3;1;Metković
Split;Metković;Slivno;80c;Slivno;d.6014/1;10;3;1;Metković
Split;Biograd;Biograd;neuređeni dio šumarije;Biograd na moru;3707, 3705, 455/1;2.49;3;1;
Split;Biograd;Biograd;neuređeni dio šumarije;Biograd na moru;459/10;5.52;3;1;
Split;Biograd;Biograd;neuređeni dio šumarije;Biograd na moru;1998/43, 1998/5, 1998/6, 1998/7, 1998/8, 1998/9, 1998/10, 1998/11, 1998/1;13;3;1;
Split;Biograd;Biograd;neuređeni dio šumarije;Biograd na moru;3707, 3705, 455/1;7;3;1;
Split;Biograd;Turanj;38b;Turanj;3593, 1198/6;33.64;3;1;
Split;Biograd;Turanj;40b;Filipjakov;2247,2277, 2540;15.26;3;1;
Split;Drniš;Promina;60a;Oklaj;1273/1;9.38;3;1;
Split;Imotski;Badnjevica;38;Imotski-Glavina;702/1, 702/6, 70277, 702/8, 702/9, 702/10, 702/11, 1760/2, 1760/3, 1735;18.37;4;1;
Split;Imotski;Orljača;75;Zagvozd;d.9274/104, d.9275/105;63.32;4;1;
Split;Imotski;Maglaj Kruškovnik;58;Lovreć;1305, 1331/3, 2961/1, 2301/1;41.18;4;1;
Split;Šibenik;Konjička draga;7;Vrpolje;1391;54.12;4;1;
Split;Šibenik;Prhovo;neuređen;Primošten;16818/1;7.94;4;1;
Split;Šibenik;Prhovo;neuređen;Boraja;1130/1;23;4;1;
Split;Šibenik;Jelinjak;37;Jadrtovac;2130/1, 2130/2;54.2;4;1;
Split;Šibenik;Jelinjak;38;Jadrtovac;2130/1, 2130/2;44.2;4;1;
Split;Šibenik;Jamina;24;Vrpolje;2130/4;60.94;4;1;
Split;Šibenik;Jamina;25;Vrpolje;2130/4;22.08;4;1;
Split;Šibenik;Čista;neuređeno;Čista;2019/3;22;4;1;
Split;Šibenik;Trtar;27c;Lozovac;995;15.51;4;1;
Split;Makarska;Bašćanski Gaj;17d;Bast-Baška Voda;2832, 2833/1, 2834/2, 2984, 2985, d.2986/1;4.91;4;1;
Split;Makarska;Bašćanski Gaj;20a;Bast-Baška Voda;d.2830, d.2831/1, 6966/1, 6966/2;9.67;4;1;
Split;Makarska;Bašćanski Gaj;20b;Bast-Baška Voda;d.2830,d.6965/1;3.5;4;1;
Split;Makarska;Bašćanski Gaj;20c;Bast-Baška Voda;d.2830,d.6965/1;4.92;4;1;
Split;Makarska;Bašćanski Gaj;20d;Bast-Baška Voda;d.2830,d.6965/1;3.14;4;1;
Split;Makarska;Bašćanski Gaj;21a;Bast-Baška Voda;d.5922/21, d.6965/1;6.85;4;1;
Split;Makarska;Bašćanski Gaj;21b;Bast-Baška Voda;d.5922/21, d.6965/1;21.8;4;1;
Split;Makarska;Bašćanski Gaj;dio 26b;Bast-Baška Voda;d.2830, d.5922/23, d.6965/1, d.6967/1;20;4;1;
Split;Makarska;Drvenik Plana;25d;Drvenik;947, 948, 3348, 3349;9.4;4;1;
Split;Vrgorac;Matokit;56b;Dusina;d.5275/25;20.7;4;1;
Split;Vrgorac;Matokit;56b;Vrgorac;d.5290/1;20.7;4;1;
Split;Zadar;Nin - Kožino;81c;Diklo;d.766/51, 766/55, 766/65, d.766/395, d.766/396, d.766/403;12.42;4;1;
Split;Zadar;Škabrnja;neuređen;Škabrnje;193;18.56;4;1;
Split;Zadar;Škabrnja;neuređen;Škabrnje;194;36.27;4;1;
Split;Zadar;Škabrnja;neuređen;Škabrnje;1068/5;252.1;4;1;
Split;Zadar;Sukošan;neuređen;Sukošan;3017/1;133.11;4;1;
Split;Zadar;Sukošan;neuređen;Sukošan;3204/32;13.41;4;1;
Split;Zadar;Sukošan;neuređen;Sukošan;3016/1;85.78;4;1;
Split;Zadar;Sukošan;neuređen;Sukošan;3673/1;131.08;4;1;
Gospić;Gračac;Istočni Resnik;107a;Tomingaj;3127/2, d.3127/5;61.88;4;1;
Gospić;Gračac;Istočni Resnik;105a;Tomingaj;d.3127/1, d.3127/5;46.11;4;1;
Senj;Krk;Obzova;;Batomalj;d.371/2, d.371/3;13.43;4;1;nije poznata KO niti odsjeci, pretpostavljen batomalj
